Biota|Animalia|Arthropoda|Arachnida|Araneae|Theridiidae|Cabello,unranked|kingdom|phylum|subclass|order|family|genus,5T6MX|N|RT|RC|RN|H6N|62JR8
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Holbrookia|Holbrookia propinqua,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|6377Q|3M7BG
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Petrosaurus,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|87BW7|625ZC|6M64
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Petrosaurus|Petrosaurus thalassinus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|6M64|6V8CJ
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Phrynosoma|Phrynosoma asio,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|6PCY|6VDQ4
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Phrynosoma|Phrynosoma blainvillii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|6PCY|4GWSF
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Phrynosoma|Phrynosoma braconnieri,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|6PCY|4GWSJ
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Phrynosoma|Phrynosoma brevirostris,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|6PCY|88XRY
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Phrynosoma|Phrynosoma cornutum,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|6PCY|4GWSM
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Phrynosoma|Phrynosoma coronatum,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|6PCY|4GWSN
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Phrynosoma|Phrynosoma douglasii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|6PCY|4GWSQ
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Phrynosoma|Phrynosoma mcallii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|6PCY|4GWT4
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Phrynosoma|Phrynosoma orbiculare,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|6PCY|4GWT9
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Phrynosoma|Phrynosoma platyrhinos,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|6PCY|4GWTD
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Phrynosoma|Phrynosoma solare,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|6PCY|4GWTJ
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Phrynosoma|Phrynosoma taurus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|6PCY|88XS7
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus acanthinus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|4V57K
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus aeneus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|4V57M
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus chrysostictus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|4V58D
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus clarkii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|4V58F
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus consobrinus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|4V58J
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus couchii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|4V58K
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus dugesii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|4V58X
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus formosus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|4V596
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus graciosus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|4V59F
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus grammicus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|4V59J
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus horridus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|4V59S
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus jarrovii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|6XVYL
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus malachiticus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|6XVYS
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus occidentalis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|4V5B2
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus ornatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|4V5B9
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus poinsettii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|4V5BJ
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus scalaris,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|4V5BV
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus serrifer,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|4V5BX
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus siniferus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|4V5BZ
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus spinosus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|4V5C6
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus squamosus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|4V5C7
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus torquatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|4V5CL
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus undulatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|4V5CX
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus utiformis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|4V5D2
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus variabilis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|4V5D5
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus zosteromus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|63RC7|4V5DB
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Uma,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|87BW7|625ZC|84QH
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Uma|Uma notata,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|84QH|7DH42
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Urosaurus,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|87BW7|625ZC|85BL
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Urosaurus|Urosaurus auriculatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|85BL|7DZ2M
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Urosaurus|Urosaurus bicarinatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|85BL|7DYQZ
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Urosaurus|Urosaurus gadovi,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|85BL|7DZ2Y
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Urosaurus|Urosaurus graciosus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|85BL|7DYR9
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Urosaurus|Urosaurus ornatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|85BL|7DZ38
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Uta|Uta stansburiana,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|625ZC|85GP|7F3TX
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Polychrotidae|Polychrus|Polychrus acutirostris,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|627JC|63NPF|4L47L
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Polychrotidae|Polychrus|Polychrus gutturosus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|627JC|63NPF|4L47P
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Polychrotidae|Polychrus|Polychrus marmoratus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|627JC|63NPF|4L47S
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Microlophus|Microlophus arenarius,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|5RYB|8KPP2
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Microlophus|Microlophus bivittatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|5RYB|6RH5B
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Microlophus|Microlophus grayii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|5RYB|42YGZ
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Microlophus|Microlophus occipitalis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|5RYB|42YH7
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Microlophus|Microlophus peruvianus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|5RYB|42YH9
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Plica,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|87BW7|HJW|6SX6
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Plica|Plica plica,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|6SX6|4KFP9
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Plica|Plica umbra,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|6SX6|6W3LD
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Stenocercus,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|87BW7|HJW|7MJ6
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Stenocercus|Stenocercus aculeatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|7MJ6|4ZWHS
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Stenocercus|Stenocercus azureus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|7MJ6|4ZWJ3
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Stenocercus|Stenocercus caducus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|7MJ6|4ZWJ8
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Stenocercus|Stenocercus crassicaudatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|7MJ6|6ZMB5
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Stenocercus|Stenocercus cupreus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|7MJ6|4ZWJG
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Stenocercus|Stenocercus dumerilii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|7MJ6|4ZWJK
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Stenocercus|Stenocercus erythrogaster,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|7MJ6|4ZWJN
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Stenocercus|Stenocercus formosus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|7MJ6|4ZWJT
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Stenocercus|Stenocercus guentheri,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|7MJ6|4ZWJV
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Stenocercus|Stenocercus humeralis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|7MJ6|4ZWJY
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Stenocercus|Stenocercus iridescens,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|7MJ6|4ZWK2
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Stenocercus|Stenocercus marmoratus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|7MJ6|4ZWK9
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Stenocercus|Stenocercus modestus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|7MJ6|4ZWKB
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Stenocercus|Stenocercus ornatissimus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|7MJ6|4ZWKJ
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Stenocercus|Stenocercus pectinatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|7MJ6|4ZWKL
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Stenocercus|Stenocercus roseiventris,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|7MJ6|4ZWKT
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Stenocercus|Stenocercus torquatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|7MJ6|4ZWL5
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Stenocercus|Stenocercus tricristatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|7MJ6|4ZWL7
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Stenocercus|Stenocercus varius,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|7MJ6|4ZWLB
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Strobilurus|Strobilurus torquatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|8NZLY|6ZYVV
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Tropidurus|Tropidurus hispidus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|834J|59CMR
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Tropidurus|Tropidurus hygomi,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|834J|59CMV
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Tropidurus|Tropidurus semitaeniatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|834J|59CNY
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Tropidurus|Tropidurus spinulosus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|834J|59CP2
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Tropidurus|Tropidurus torquatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|834J|59CPD
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Tropiduridae|Uracentron|Uracentron azureum,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|HJW|647Y9|7DLL5
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Helodermatidae,unranked|kingdom|phylum|class|order|superfamily|family,5T6MX|N|CH2|RP|45C|8H5NL|62542
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Helodermatidae|Heloderma,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5NL|62542|637GG
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Helodermatidae|Heloderma|Heloderma horridum,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5NL|62542|637GG|3KGXY
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Helodermatidae|Heloderma|Heloderma suspectum,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5NL|62542|637GG|3KGXZ
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Lanthanotidae|Lanthanotus,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5NL|BS5|639NH
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Lanthanotidae|Lanthanotus|Lanthanotus borneensis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5NL|BS5|639NH|3S7W2
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Varanidae|Varanus|Varanus acanthurus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5NL|6273W|85WS|7FGCJ
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Varanidae|Varanus|Varanus albigularis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5NL|6273W|85WS|7FGCH
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Varanidae|Varanus|Varanus bengalensis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5NL|6273W|85WS|7FGF9
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Varanidae|Varanus|Varanus caudolineatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5NL|6273W|85WS|7FGDS
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Varanidae|Varanus|Varanus douarrha,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5NL|6273W|85WS|8GQJJ
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Varanidae|Varanus|Varanus dumerilii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5NL|6273W|85WS|7FGDW
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Varanidae|Varanus|Varanus exanthematicus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5NL|6273W|85WS|7FGDT
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Varanidae|Varanus|Varanus flavescens,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5NL|6273W|85WS|7FG7F
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Varanidae|Varanus|Varanus giganteus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5NL|6273W|85WS|7FG7D
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Varanidae|Varanus|Varanus gouldii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5NL|6273W|85WS|7FG7M
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Varanidae|Varanus|Varanus griseus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5NL|6273W|85WS|7FFVK
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Varanidae|Varanus|Varanus indicus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5NL|6273W|85WS|7FG7H
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Varanidae|Varanus|Varanus kordensis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5NL|6273W|85WS|7FG7T
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Varanidae|Varanus|Varanus nebulosus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5NL|6273W|85WS|7FG7P
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Varanidae|Varanus|Varanus niloticus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5NL|6273W|85WS|7FG7Z
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Varanidae|Varanus|Varanus nuchalis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5NL|6273W|85WS|7FFVY
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Varanidae|Varanus|Varanus olivaceus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5NL|6273W|85WS|7FG7X
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Varanidae|Varanus|Varanus prasinus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5NL|6273W|85WS|7FG6L
Biota|Animalia|Chordata|Reptilia|Squamata|Platynota|Varanidae|Varanus|Varanus rudicollis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5NL|6273W|85WS|7FG75
